,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
124,Akatsuki no Yona,2014–    ,8.1,NA,"2,793",24,"Animation, Action, Adventure            ",Monica Rial,Christopher Sabat,Chiwa Saitô,Tomoaki Maeno
125,Nanatsu no taizai,2014–    ,8.1,16,"24,069",24,"Animation, Action, Adventure            ",Bryce Papenbrook,Erika Harlacher,Max Mittelman,Cristina Valenzuela
126,Space Dandy,2014,8.1,NA,"3,422",24,"Animation, Adventure, Comedy            ",Jun'ichi Suwabe,Uki Satake,Hiroyuki Yoshino,Joel McDonald
127,Kamisama hajimemashita,2012–    ,8.1,NA,"2,720",23,"Animation, Comedy, Fantasy            ",Tia Lynn Ballard,Luci Christian,J. Michael Tatum,Josh Grelle
128,Ôkami to kôshinryô II,2009,8.1,NA,"1,240",19,"Animation, Drama, Fantasy            ",Jun Fukuyama,Ami Koshimizu,Kotaro Namura,Saeko Chiba
129,Natsume yûjinchô,2008–    ,8.1,NA,"1,705",24,"Animation, Comedy, Drama            ",Hiroshi Kamiya,Kazuhiko Inoue,Miki Itô,Ryohei Kimura
130,Kidô Senshi Gundam 00,2007–2009,8.1,NA,"2,116",24,"Animation, Action, Drama            ",Sam Vincent,Mamoru Miyano,Shin'ichirô Miki,Hiroyuki Yoshino
131,Oban Star-Racers,2006,8.1,NA,"1,686",25,"Animation, Action, Adventure            ",Junko Noda,Chiara Zanni,Michael Dobson,Ron Halder
132,Bleach: Burîchi,2004–2012,8.1,16,"44,838",24,"Animation, Action, Adventure            ",Johnny Yong Bosch,Michelle Ruff,Stephanie Sheh,Jamieson Price
133,Shaman Kingu,2001–2005,8.1,NA,"5,252",23,"Animation, Action, Adventure            ",Oliver Wyman,Andrew Rannells,Michael Sinterniklaas,Megumi Hayashibara
134,12 kokuki,2002–    ,8.1,NA,"1,819",25,"Animation, Adventure, Drama            ",Mari Devon,Kate Higgins,Houko Kuwashima,Aya Hisakawa
135,Shin kidô senki Gundam W,1995–1996,8.1,NA,"4,168",30,"Animation, Action, Adventure            ",Hikaru Midorikawa,Toshihiko Seki,Ryûzô Ishino,Akio Ôtsuka
136,That Time I Got Reincarnated as a Slime,2018–    ,8,16,"4,933",25,"Animation, Action, Adventure            ",Miho Okasaki,Brittney Karbowski,Mallorie Rodak,Megumi Toyoguchi
137,Hai Sukoa Garu,2018–    ,8,NA,"1,553",25,"Animation, Comedy, Romance            ",Kôhei Amasaki,Sayumi Suzushiro,Yûki Hirose,Satomi Arai
138,Banana Fish,2018,8,NA,"2,550",22,"Animation, Action, Adventure            ",Jun Fukuyama,Makoto Furukawa,Hiroaki Hirata,Yoshimasa Hosoya
139,Hinamatsuri,2018–    ,8,NA,"1,391",24,"Animation, Comedy, Fantasy            ",Yoshiki Nakajima,Jarrod Greene,Brina Palencia,Takako Tanaka
140,Golden Kamuy,2018–    ,8,NA,"1,019",24,"Animation, Action, Adventure            ",Haruka Shiraishi,Chikahiro Kobayashi,Kentarô Itô,Fumihiko Tachiki
141,Ansatsu kyôshitsu,2013–2016,8,18,"9,122",23,"Animation, Action, Comedy            ",Jun Fukuyama,Mai Fuchigami,Christopher Bevins,Luci Christian
142,Fate/stay night: Unlimited Blade Works,2014–2015,8,16,"6,333",24,"Animation, Action, Fantasy            ",Mela Lee,Bryce Papenbrook,Noriaki Sugiyama,Kana Ueda
143,Gin no saji,2013–2014,8,NA,"1,021",22,"Animation, Comedy, Drama            ",Ryohei Kimura,Marie Miyake,Hajime Iijima,Tôru Sakurai
144,Shin Sekai Yori,2012–2013,8,NA,"2,671",25,"Animation, Adventure, Drama            ",Emily Neves,Greg Ayres,David Wald,John Swasey
145,Inazuma irebun,2008–2011,8,NA,"1,155",24,"Animation, Action, Adventure            ",Michael C. Pizzuto,Scott Evans,Junko Takeuchi,Hirofumi Nojima
146,Bakuman.,2010–2013,8,NA,"1,995",24,"Animation, Comedy, Drama            ",Kevin T. Collins,Dan Green,Jun'ichi Suwabe,Marc Diraison
147,Kaichou wa meido-sama!,2010–    ,8,NA,"5,435",24,"Animation, Comedy, Romance            ",David Matranga,Monica Rial,Ayumi Fujimura,Nobuhiko Okamoto
148,Lovely Complex,2007–    ,8,NA,"2,308",24,"Animation, Comedy, Romance            ",Akemi Okamura,Saori Higashi,Kazuko Kojima,Kae Araki
149,Fairy Tail: Fearî teiru,2009–2019,8,16,"21,060",24,"Animation, Action, Adventure            ",Cherami Leigh,Todd Haberkorn,Tia Lynn Ballard,Colleen Clinkenbeard
150,Bakemonogatari,2009–2010,8,NA,"4,424",50,"Animation, Action, Comedy            ",Hiroshi Kamiya,Eri Kitamura,Yuka Iguchi,Chiwa Saitô
151,Toradora!,2008–2009,8,16,"10,939",24,"Animation, Comedy, Drama            ",Rie Kugimiya,Junji Majima,Yui Horie,Hirofumi Nojima
152,Ôkami to kôshinryô,2008–2009,8,NA,"3,812",24,"Animation, Adventure, Fantasy            ",Jun Fukuyama,Ami Koshimizu,Brina Palencia,J. Michael Tatum
153,Higurashi no naku koro ni: Kai,2007,8,NA,"2,023",25,"Animation, Drama, Horror            ",Yukari Tamura,Mai Nakahara,Mika Kanai,Satsuki Yukino
154,Doraemon,1973,8,NA,"1,083",30,"Animation, Comedy, Family            ",Yoshiko Ohta,Masako Nozawa,Kôsei Tomita,Junko Hori
155,Kureimoa,2007,8,NA,"12,353",24,"Animation, Action, Adventure            ",Todd Haberkorn,Stephanie Young,Houko Kuwashima,Cherami Leigh
156,Black Lagoon,2006,8,18,"12,470",25,"Animation, Action, Adventure            ",Megumi Toyoguchi,Daisuke Namikawa,Maryke Hendrikse,Brad Swaile
157,Ergo Proxy,2006,8,18,"12,715",25,"Animation, Action, Adventure            ",Kôji Yusa,Akiko Yajima,Rachel Hirschfeld,Liam O'Brien
158,Gankutsu-ô,2004–2005,8,NA,"2,233",24,"Animation, Drama, Sci-Fi            ",Jôji Nakata,Johnny Yong Bosch,Beau Billingslea,Karen Strassman
